"","Horse (Age, Color, Sex)",,,,,,,,,,
"",Sire,,,,,,,,,,
"",Dam,,,,,,,,,,
"#",Dam's Sire,Owner / Breeder,Rider,,,1st Go,,Owner,Stallion,Breeder,
"",French Goodbye (2014‐Palomino‐G),Dino Chouest,,,,,,,,,
"",The Goodbye Lane,"Galliano, LA",,,,,,,,,
"",Two Fools Gold,Randy or Vauna Walker,Vauna Walker,,,,,,,,
1,Frenchmans Guy,"Pingree, ID","Pingree, ID",,O,16.567,1,"$23,375","$2,750","$1,375",
"",Jets Letters Ta Abby (2014‐Sorrel‐G),,,,,,,,,,
"",Blazin Jetolena,,,,,,,,,,
"",Real Famous Abby,Busby Quarterhorse LLC,Ashley Schafer,,,,,,,,
2,Dash Ta Fame,"Millsap, TX","Millsap, TX",,O,16.845,2,"$16,363","$1,925",$963,
"",Hes Furious (2014‐Bay‐G),Ryan & Timi Lickley,,,,,,,,,
"",The Goodbye Lane,"Jerome, ID",,,,,,,,,
"",Furyx,The Running A LLC,Timi Lickley,,,,,,,,
3,Calyx,"Helper, UT","Jerome, ID",,O,16.988,3/4,"$12,856","$1,513",$756,
"",Jets Heart N Soul (2014‐Chestnut‐G),Busby Quarterhorse LLC,,,,,,,,,
"",Blazin Jetolena,"Millsap, TX",,,,,,,,,
"",Mistys Dash of Fame,Joe & Dee Lynn Braman,Jolene Montgomery,,,,,,,,
4,Dash Ta Fame,"Refugio, TX","Purdon, TX",,O,16.988,3/4,"$12,856","$1,513",$756,
"",Our First Goodbye (2013‐Brown‐M),,,,,,,,,,
"",The Goodbye Lane,,,,,,,,,,
"",Jesse James Agent,Mark & Linda Jarvis,Marcie Wilson,,,,,,,,
5,Jesse James Jr,"Spanish Fork, UT","Lake Shore, UT",A,O,17.005,5,"$8,181",$963,$481,
"",High Cotton Lane (2014‐Chestnut‐S),Gyp Hills Quarter Horse Ranch ‐,,,,,,,,,
"",The Goodbye Lane,"Wayne, OK",,,,,,,,,
"",HMB Soon Tobe Famous,Bob Burt,Paige Jones,,,,,,,,
6,Dash Ta Fame,"West Jordan, UT","Wayne, OK",,O,17.021,6,"$6,428",$756,$378,
"",NB Ladybird (2014‐Gray‐M),,,,,,,,,,
"",Shawne Bug Leo,,,,,,,,,,
"",TR Dashing Badger,NickelBar Ranch LLC,Kenna Squires,,,,,,,,
7,Mr Illuminator,"San Angelo, TX","Mason, TX",,O,17.050,7,"$5,259",$619,$309,
"",Streakin French Star (2014‐Buckskin‐G),Wade Lewis,,,,,,,,,
"",Streakin Boon Dox,"Hereford, TX",,,,,,,,,
"",French Stars,Joe &/or Carla Spitz,Ashley Schafer,,,,,,,,
